iter	Passed	Remaining
477	116894	132545
478	117101	132258
479	117312	131976
480	117620	131803
481	117869	131563
482	118081	131282
483	118250	130955
484	118453	130665
485	118675	130396
486	119034	130278
487	119352	130114
488	119620	129894
489	119906	129694
490	120136	129433
491	120369	129177
492	120673	128996
493	120856	128685
494	121103	128442
495	121363	128214
496	121614	127976
497	121847	127719
498	122046	127427
499	122241	127130
500	122480	126881
501	122765	126678
502	122966	126388
503	123218	126152
504	123405	125849
505	123632	125587
506	123896	125363
507	124171	125149
508	124414	124903
509	124637	124637
510	124863	124374
511	125079	124102
512	125329	123863
513	125554	123600
514	125824	123381
515	126021	123090
516	126225	122807
517	126442	122537
518	126724	122329
519	126988	122104
520	127209	121837
521	127394	121537
522	127579	121237
523	127896	121062
524	128157	120834
525	128342	120534
526	128547	120254
527	128799	120017
528	129118	119843
529	129349	119587
530	129563	119315
531	129785	119051
532	130121	118891
533	130392	118671
534	130636	118427
535	130805	118115
536	131038	117861
537	131307	117639
538	131530	117376
539	131823	117176
540	132126	116984
541	132351	116722
542	132586	116471
543	132889	116278
544	133132	116032
545	133347	115763
546	133528	115464
547	133700	115158
548	133899	114875
549	134152	114639
550	134424	114419
551	134667	114174
552	134885	113908
553	135136	113670
554	135382	113428
555	135582	113148
556	135779	112865
557	135977	112583
558	136221	112340
559	136513	112136
560	136762	111896
561	137015	111660
562	137220	111385
563	137508	111176
564	137867	111026
565	138100	110773
566	138392	110567
567	138701	110375
568	139087	110243
569	139519	110146
570	139904	110012
571	140177	109789
572	140514	109616
573	140849	109440
574	141164	109248
575	141432	109020
576	141641	108747
577	141971	108566
578	142209	108314
579	142505	108107
580	142706	107827
581	142970	107596
582	143203	107341
583	143385	107047
584	143610	106787
585	143851	106538
586	144099	106295
587	144400	106089
588	144650	105847
589	144877	105589
590	145113	105336
591	145320	105063
592	145528	104790
593	145761	104535
594	145936	104240
595	146178	103992
596	146419	103744
597	146654	103492
598	146872	103227
599	147057	102940
600	147259	102665
601	147443	102377
602	147652	102107
603	147835	101820
604	148013	101529
605	148229	101265
606	148451	101005
607	148628	100715
608	148795	100418
609	148970	100127
610	149216	99884
611	149463	99642
612	149671	99373
613	149877	99104
614	150144	98875
615	150324	98589
616	150580	98353
617	150824	98109
618	151041	97847
619	151233	97570
620	151459	97314
621	151676	97053
622	151924	96811
623	152162	96564
624	152386	96308
625	152663	96085
626	152878	95823
627	153144	95593
628	153489	95412
629	153810	95215
630	153996	94935
631	154262	94705
632	154550	94488
633	154752	94218
634	154933	93935
635	155158	93680
636	155389	93428
637	155634	93185
638	155952	92985
639	156170	92726
640	156416	92483
641	156689	92256
642	157062	92087
643	157435	91918
644	157766	91724
645	158120	91543
646	158525	91391
647	158838	91184
648	159179	90994
649	159451	90764
650	159688	90514
651	160007	90311
652	160308	90096
653	160678	89920
654	160869	89644
655	161253	89476
656	161455	89205
657	161654	88934
658	161915	88697
659	162107	88422
660	162324	88160
661	162505	87880
662	162749	87634
663	162971	87376
664	163160	87100
665	163367	86834
666	163576	86570
667	163777	86301
668	164040	86065
669	164255	85805
670	164496	85557
671	164773	85329
672	165109	85130
673	165347	84881
674	165662	84672
675	165893	84419
676	166111	84160
677	166354	83913
678	166522	83629
679	166961	83480
680	167192	83228
681	167438	82982
682	167831	82809
683	168023	82537
684	168256	82286
685	168513	82045
686	168742	81792
687	168963	81534
688	169208	81288
689	169458	81045
690	169662	80779
691	169957	80557
692	170196	80309
693	170393	80040
694	170652	79801
695	170879	79547
696	171155	79315
697	171410	79074
698	171744	78869
699	172096	78672
700	172278	78397
701	172508	78144
702	172865	77949
703	173050	77676
704	173395	77474
705	173681	77246
706	173935	77003
707	174121	76731
708	174395	76498
709	174589	76229
710	174857	75992
711	175073	75734
712	175292	75476
713	175516	75221
714	175815	74998
715	176016	74733
716	176241	74478
717	176551	74259
718	176745	73992
719	177064	73776
720	177311	73531
721	177663	73329
722	177959	73103
723	178214	72861
724	178383	72583
725	178633	72339
726	178928	72112
727	179148	71856
728	179347	71591
729	179622	71356
730	179811	71088
731	180023	70829
732	180347	70613
733	180545	70348
734	180768	70093
735	180984	69836
736	181305	69619
737	181512	69358
738	181779	69120
739	182056	68886
740	182238	68615
741	182464	68362
742	182657	68096
743	182952	67869
744	183208	67627
745	183466	67385
746	183784	67166
747	184054	66928
748	184321	66690
749	184586	66451
750	184828	66203
751	185051	65949
752	185341	65718
753	185559	65462
754	185772	65204
755	185989	64948
756	186194	64688
757	186433	64439
758	186704	64202
759	186951	63957
760	187184	63706
761	187443	63464
762	187719	63229
763	187941	62975
764	188159	62719
765	188385	62467
766	188633	62221
767	188869	61972
768	189125	61730
769	189442	61507
770	189659	61251
771	189870	60994
772	190151	60760
773	190345	60497
774	190545	60236
775	190750	59978
776	190980	59727
777	191226	59481
778	191480	59238
779	191705	58986
780	191926	58732
781	192183	58490
782	192415	58240
783	192662	57995
784	192878	57740
785	193145	57501
786	193406	57260
787	193711	57031
788	194007	56800
789	194216	56543
790	194409	56282
791	194623	56028
792	194791	55759
793	194990	55501
794	195215	55249
795	195437	54997
796	195671	54748
797	195981	54521
798	196232	54277
799	196491	54035
800	196783	53802
801	197010	53551
802	197242	53302
803	197511	53062
804	197677	52795
805	197922	52550
806	198179	52307
807	198436	52065
808	198601	51798
809	198824	51547
810	199042	51294
811	199232	51034
812	199468	50787
813	199719	50543
814	199895	50280
815	200169	50042
816	200361	49783
817	200559	49526
818	200780	49275
819	201032	49032
820	201265	48784
821	201441	48522
822	201715	48284
823	201918	48029
824	202140	47778
825	202333	47521
826	202550	47269
827	202796	47025
828	202981	46766
829	203241	46525
830	203448	46271
831	203679	46023
832	203907	45775
833	204136	45526
834	204379	45281
835	204663	45045
836	204863	44790
837	205033	44529
838	205212	44271
839	205475	44030
840	205706	43783
841	205891	43525
842	206151	43284
843	206389	43038
844	206616	42790
845	206865	42546
846	207008	42281
847	207186	42023
848	207407	41774
849	207688	41537
850	207945	41295
851	208171	41047
852	208438	40808
853	208734	40573
854	208923	40318
855	209175	40075
856	209400	39827
857	209575	39570
858	209811	39324
859	209973	39064
860	210186	38814
861	210429	38570
862	210624	38317
863	210826	38065
864	211048	37818
865	211246	37565
866	211510	37325
867	211681	37068
868	211896	36819
869	212085	36566
870	212343	36325
871	212560	36076
872	212749	35823
873	213054	35590
874	213317	35349
875	213542	35102
876	213774	34857
877	213971	34605
878	214181	34356
879	214479	34121
880	214668	33869
881	214868	33618
882	215115	33375
883	215366	33133
884	215604	32888
885	215888	32651
886	216107	32403
887	216363	32162
888	216568	31912
889	216810	31668
890	216993	31416
891	217169	31163
892	217455	30925
893	217616	30670
894	217843	30425
895	218080	30180
896	218261	29928
897	218536	29689
898	218737	29440
899	218952	29193
900	219219	28953
901	219504	28715
902	219707	28467
903	219986	28228
904	220305	27994
905	220584	27755
906	220817	27510
907	221071	27268
908	221331	27027
909	221515	26776
910	221736	26530
911	221907	26278
912	222120	26031
913	222407	25793
914	222662	25551
915	222928	25310
916	223194	25069
917	223412	24823
918	223664	24581
919	223944	24341
920	224153	24094
921	224407	23852
922	224688	23612
923	224903	23366
924	225169	23125
925	225355	22876
926	225606	22633
927	225833	22388
928	226029	22140
929	226256	21895
930	226493	21651
931	226718	21406
932	226916	21159
933	227169	20917
934	227350	20668
935	227523	20418
936	227716	20171
937	227893	19922
938	228089	19675
939	228383	19436
940	228569	19189
941	228844	18948
942	229064	18704
943	229265	18457
944	229465	18211
945	229704	17968
946	229908	17722
947	230083	17474
948	230368	17235
949	230564	16988
950	230822	16747
951	231090	16506
952	231294	16261
953	231583	16021
954	231996	15790
955	232284	15550
956	232502	15305
957	232794	15066
958	233062	14824
959	233345	14584
960	233636	14343
961	233923	14103
962	234239	13864
963	234688	13633
964	234957	13391
965	235277	13152
966	235518	12908
967	235884	12671
968	236138	12428
969	236458	12188
970	236707	11945
971	236972	11702
972	237301	11462
973	237552	11219
974	237732	10972
975	237928	10726
976	238209	10484
977	238375	10236
978	238611	9992
979	238960	9753
980	239270	9512
981	239515	9268
982	239782	9025
983	240002	8780
984	240252	8536
985	240498	8293
986	240684	8047
987	241014	7806
988	241272	7562
989	241518	7318
990	241809	7076
991	242021	6831
992	242294	6588
993	242684	6347
994	242966	6104
995	243243	5861
996	243469	5616
997	243675	5371
998	243870	5126
999	244127	4882
1000	244340	4637
1001	244648	4394
1002	244871	4150
1003	245183	3907
1004	245448	3663
1005	245720	3419
1006	245962	3175
1007	246201	2930
1008	246444	2686
1009	246676	2442
1010	246877	2197
1011	247069	1953
1012	247466	1710
1013	247710	1465
1014	248012	1221
1015	248347	977
1016	248595	733
1017	248863	488
1018	249187	244
1019	249504	0
