iter	Logloss
0	0.6747419663
1	0.6586247401
2	0.6390275352
3	0.6221890015
4	0.6076236688
5	0.5946578299
6	0.5837953694
7	0.5741572001
8	0.5658986649
9	0.5582579857
10	0.5517596724
11	0.5461431202
12	0.5410015269
13	0.5364468497
14	0.532371818
15	0.5287973017
16	0.5257605565
17	0.5229069492
18	0.5204694919
19	0.5181958872
20	0.5162061228
21	0.5145704099
22	0.5130794412
23	0.5116089788
24	0.5101335707
25	0.5088843793
26	0.5077176121
27	0.5064989732
28	0.5055776948
29	0.5047903444
30	0.5040229122
31	0.5034396992
32	0.5026210765
33	0.5018556315
34	0.5013560518
35	0.5008585686
36	0.5002206819
37	0.4994396051
38	0.4987847405
39	0.4981269956
40	0.4976017557
41	0.4971574411
42	0.4966803428
43	0.496220463
44	0.4957494101
45	0.4952869852
46	0.4949503531
47	0.4945891272
48	0.4942967734
49	0.4941344554
50	0.4938029584
51	0.493578553
52	0.493263753
53	0.4930543118
54	0.4927396333
55	0.4924874142
56	0.4922302185
57	0.4919488053
58	0.4917264136
59	0.4915190605
60	0.4912957694
61	0.4911325943
62	0.4909497345
63	0.4907091154
64	0.4905633523
65	0.4903255519
66	0.4900700632
67	0.4898763628
68	0.4897294966
69	0.4896153531
70	0.489467878
71	0.4893098652
72	0.4892254721
73	0.4890942627
74	0.4888198248
75	0.488711264
76	0.4886219824
77	0.4884587324
78	0.4883613464
79	0.4882810435
80	0.4881412805
81	0.4880600853
82	0.4879502458
83	0.4877776101
84	0.4876965029
85	0.4875483428
86	0.4874624747
87	0.4872498223
88	0.4871153214
89	0.4870366287
90	0.4869766624
91	0.4868878556
92	0.4867409491
93	0.4866186222
94	0.4865607958
95	0.4864692509
96	0.4862752237
97	0.4862063255
98	0.4861426051
99	0.4859280158
100	0.4858124729
101	0.4856299045
102	0.4855215012
103	0.4853827888
104	0.4852247048
105	0.4851734668
106	0.4850826113
107	0.485029367
108	0.4849770367
109	0.4848851517
110	0.4848200026
111	0.4847197456
112	0.4845733886
113	0.4845288628
114	0.4844750796
115	0.4844013849
116	0.4843118297
117	0.4842338492
118	0.4841873416
119	0.4841360022
120	0.4841038919
121	0.4840632295
122	0.4840050446
123	0.4839365125
124	0.4838770466
125	0.4837224479
126	0.4836731354
127	0.4835856251
128	0.4835514156
129	0.4834917072
130	0.4834368873
131	0.4833227515
132	0.4832006566
133	0.4831385802
134	0.483053598
135	0.4829456747
136	0.4828714022
137	0.4827813489
138	0.4826131935
139	0.4825515905
140	0.482431913
141	0.4824211293
142	0.482389209
143	0.4822524952
144	0.4822051309
145	0.4821053982
146	0.4820373388
147	0.4819995948
148	0.4818844042
149	0.4818157446
150	0.4817088511
151	0.4816313999
152	0.4815619922
153	0.4814833456
154	0.4813843207
155	0.481345256
156	0.4813135881
157	0.4812770881
158	0.4812486064
159	0.4811842862
160	0.4811071011
161	0.4810651057
162	0.4810018385
163	0.4809679199
164	0.4808972779
165	0.480860436
166	0.4808076269
167	0.4807433509
168	0.4806712091
169	0.4806268884
170	0.4805833778
171	0.4805322156
172	0.4804669375
173	0.4804154422
174	0.4803326302
175	0.4803019921
176	0.4801876648
177	0.4801434469
178	0.4801074363
179	0.4800278826
180	0.4799629971
181	0.4799169785
182	0.4798797803
183	0.4798309745
184	0.479756106
185	0.4796822748
186	0.4796693819
187	0.4796177523
188	0.4795706488
189	0.4795462075
190	0.4795070578
191	0.4794844227
192	0.4793989409
193	0.4793511171
194	0.4793313932
195	0.479288975
196	0.4792371627
197	0.4792023805
198	0.4791785879
199	0.4791125636
200	0.479068163
201	0.4790140127
202	0.4789959052
203	0.4789566158
204	0.4788874122
205	0.4788260488
206	0.4787600679
207	0.4787390489
208	0.4786858271
